	Restaurant_Name	Address	Rating
4	Community Food & Juice	2893 BroadwayNew York, NY 10025	12.0
5	Congee Village	100 Allen St.New York, NY 10002	12.0
6	Corner Bistro	331 W. Fourth St.New York, NY 10014	12.0
7	The Counter	7 Times SquareNew York, NY 10036	12.0
8	Cowgirl	519 Hudson St.New York, NY 10014	12.0
9	Cowgirl Seahorse	259 Front St.New York, NY 100	12.0
0	Crepes du Nord	17 S. William St.New York, NY 100	12.0
1	Crispo	240 W. 14th St.New York, NY 10011	12.0
2	The Crosby Bar	Crosby Street Hotel79 Crosby St.New York, NY 10012	12.0
3	Cube 63	63 Clinton St.New York, NY 10002	12.0
4	Cucina & Co. MetLife	200 Park Ave.New York, NY 101	12.0
5	Da Tommaso	903 Eighth Ave.New York, NY 10019	12.0
6	The Dakota Bar	53 W. 72nd St.New York, NY 100	12.0
7	Dallas B-B-Q	132 Second Ave.New York, NY 100	12.0
8	Dallas B-B-Q	1265 Third Ave.New York, NY 10021	12.0
9	The Delta Grill	700 Ninth Ave.New York, NY 10036	12.0
0	Der Schwarze Kolner	710 Fulton St.Brooklyn, NY 112	12.0
1	Dim Sum Go Go	5 E. BroadwayNew York, NY 10038	12.0
2	The Diner	44 Ninth Ave.New York, NY 10011	12.0
3	Dinosaur Bar-B-Que	700 W. 125th St.New York, NY 10027	12.0
4	The District	1679 Third Ave.New York, NY 10128	12.0
5	Diva	341 W. BroadwayNew York, NY 10013	12.0
6	Dok Suni's	119 First Ave.New York, NY 10003	12.0
7	Doma Na Rohu	27 1/2 Morton St.New York City, NY 10014	12.0
8	Dos Caminos	373 Park Ave. S.New York, NY 10016	12.0
9	Dos Caminos Meatpacking	675 Hudson St.New York, NY 10014	12.0
0	Dos Caminos Soho	475 W. BroadwayNew York, NY 10012	12.0
1	Dos Caminos Third Avenue	825 Third Ave.New York, NY 10022	12.0
2	DoSirak	30 E. 13th St.New York, NY 10003	12.0
3	Dutch Boy Burger	766 Franklin Ave.Brooklyn, NY 112	12.0
4	Eatery	798 Ninth Ave.New York, NY 100	12.0
5	88 Palace Restaurant	88 E. BroadwayNew York, NY 10002	12.0
6	EJ's Luncheonette	1271 Third Ave.New York, NY 10021	12.0
7	El Boqueron Tapas Bar & Restaurant	31-01 34th Ave.Astoria, NY 11106	12.0
8	El Camion Cantina	194 Ave. ANew York, NY 10009	12.0
9	Elmo	156 Seventh Ave.New York, NY 100	12.0
0	Empellon Taqueria	230 W. 4th St.New York, NY 10014	12.0
1	Employees Only 	510 Hudson St.New York, NY 10014	12.0
2	Essex 	120 Essex St.New York, NY 10002	12.0
3	Euzkadi	108 E. 4th St.New York, NY 100	12.0
4	Family Recipe	231 Eldridge St.New York, NY 10002	12.0
5	Fatoosh	330 Hicks St.Brooklyn, NY 11201	12.0
6	Felix	340 W. BroadwayNew York, NY 10013	12.0
7	Ferdinando's Focacceria Restaurant	151 Union St.Brooklyn, NY 11231	12.0
8	First Hungarian Literary Society	323 E. 79th St.New York, NY 100	12.0
9	Fitzer's	Fitzpatrick Manhattan Hotel687 Lexington Ave.New York, NY 10022	12.0
0	5 Napkin Burger	630 Ninth Ave.New York, NY 10036	12.0
1	Flight	1479 York Ave.New York, NY 10075	12.0
2	Flor de Sol	361 Greenwich St.New York, NY 100	12.0
3	The 40/40 Club	6 W. 25th St.New York, NY 10010	12.0
4	Francisco's Centro Vasco	159 W. 23rd St.New York, NY 10011	12.0
5	Frankies 457 Spuntino	457 Court St.Brooklyn, NY 11231	12.0
6	Frankie & Johnnie's Steakhouse	320 W. 46th St.New York, NY 10036	12.0
7	Frankie & Johnnie's Steakhouse	32 W. 37th St.New York, NY 100	12.0
8	French Roast	78 W. 11th St.New York, NY 10011	12.0
9	French Roast Cafe	2340 BroadwayNew York, NY 10024	12.0
0	Galway Hooker	133 Seventh Ave. S.New York, NY 100	12.0
1	Garage	99 Seventh Ave.New York, NY 10014	12.0
2	Gargiulo's	2911 W. 15th St.Brooklyn, NY 11224	12.0
3	Gazala's	380 Columbus Ave.New York, NY 10024	12.0
4	Gazala's Place	709 Ninth Ave.New York, NY 10019	12.0
5	Giano	126 E. Seventh St.New York, NY 10009	12.0
6	GMT Tavern	142 Bleecker St.New York, NY 10012	12.0
7	Golden Unicorn Restaurant	18 E. BroadwayNew York, NY 10002	12.0
8	Good Enough to Eat	483 Amsterdam Ave.New York, NY 10024	12.0
9	Goodfella's Brick Oven Pizza	1718 Hylan Blvd.Staten Island, NY 10305	12.0
0	Gottino	52 Greenwich Ave.New York, NY 10011	12.0
1	Grace's Trattoria	201 E. 71st St.New York, NY 100	12.0
2	Gradisca	126 W. 13th St.New York, NY 10011	12.0
