	Restaurant_Name	Address	Rating
2	Yosaku Japanese Restaurant	4712 Wisconsin Ave. NWWashington, DC 20016	12.0
3	Zorba's Cafe	1612 20th St. NWWashington, DC 20009	12.0
0	Al Tiramisu	2014 P St. NWWashington, DC 20036	13.0
1	All-Purpose Pizzeria	1250 9th St. NWWashington, DC 200	13.0
2	Ankara	1320 19th St. NWWashington, DC 200	13.0
3	Bistro 525	Washington Court Hotel525 New Jersey Ave. NWWashington, DC 20001	13.0
4	Bistrot du Coin	1738 Connecticut Ave. NWWashington, DC 20009	13.0
5	Bobby Van's Steakhouse	809 15th St. NWWashington, DC 20005	13.0
6	Boqueria	1837 M St. NWWashington, DC 20036	13.0
7	Boundary Stone	116 Rhode Island Ave. NWWashington, DC 20001	13.0
8	Cactus Cantina	3300 Wisconsin Ave. NWWashington, DC 20016	13.0
9	Cafe Deluxe	3228 Wisconsin Ave. NWWashington, DC 20016	13.0
0	Cafe Ole	4000 Wisconsin Ave. NWWashington, DC 20016	13.0
1	Cafe Saint-Ex	1847 14th St. NWWashington, DC 20009	13.0
2	The Capital Grille	601 Pennsylvania Ave. NWWashington, DC 20004	13.0
3	Cedar	822 E St. NWWashington, DC 20004	13.0
4	CF Folks	1225 19th St. NWWashington, DC 20036	13.0
5	Chef Geoff's	3201 New Mexico Ave. NWWashington, DC 20016	13.0
6	Chez Billy Sud	1039 31st St. NWWashington, DC 200	13.0
7	Ching Ching Cha, a Chinese Tea House	1063 Wisconsin Ave. NWWashington, DC 20007	13.0
8	Circle Bistro	One Washington Circle Hotel1 Washington Cir. NWWashington, DC 20037	13.0
9	Co Co. Sala	929 F St. NWWashington, DC 20004	13.0
0	Comet Ping Pong	5037 Connecticut Ave. NWWashington, DC 20008	13.0
1	Del Frisco's Grille	1201 Pennsylvania Ave. NWWashington, DC 20004	13.0
2	DISH + drinks	The River Inn924 25th St. NWWashington, DC 20037	13.0
3	Drafting Table	1529 14th St. NWWashington, DC 20005	13.0
4	El Centro D.F.	1218 Wisconsin Ave. NWWashington, DC 200	13.0
5	Ella's Wood Fired Pizza	610 9th St. NWWashington, DC 200	13.0
6	Esencias Panameñas	3322 Georgia Ave. NWWashington, DC 200	13.0
7	Estadio	1520 14th St. NWWashington, DC 20005	13.0
8	Farmers Fishers Bakers	Washington Harbour3000 K St. NWWashington, DC 20007	13.0
9	Finn & Porter	Embassy Suites900 Tenth St. NWWashington, DC 20001	13.0
0	Hitching Post	200 Upshur St. NWWashington, DC 200	13.0
1	Il Canale	1063 31st St. NWWashington, DC 20007	13.0
2	Jardenea	The Melrose Georgetown Hotel2430 Pennsylvania Ave. NWWashington, DC 200	13.0
3	Juniper	Fairmont Washington, D.C.2401 M St. NWWashington, DC 20037	13.0
4	Kotobuki Japanese Restaurant	4822 MacArthur Blvd. NWWashington, DC 20007	13.0
5	La Chaumiere	2813 M St. NWWashington, DC 20007	13.0
6	Lauriol Plaza	1835 18th St. NWWashington, DC 20009	13.0
7	Le Chat Noir Restaurant Francais & Wine Lounge	4907 Wisconsin Ave. NWWashington, DC 20016	13.0
8	Level One	1639 R St. NWWashington, DC 20009	13.0
9	McCormick & Schmick's	1652 K St. NWWashington, DC 20006	13.0
