	Restaurant_Name	Address	Stars
15	Boathouse Central Park	The Lake at Central Park, New York 10021	0.0
16	Cafe Sabarsky	1048 Fifth Ave., New York 10028	0.0
17	Maz Mezcal	316 E. 86th St., New York 10028	0.0
18	Nick's	1814 Second Ave., New York 10128	0.0
19	Persepolis	1407 Second Ave., New York 10021	0.0
20	Quatorze Bis	323 E. 79th St., New York 10021	0.0
21	Sushi of Gari	402 E. 78th St., New York 10021	1.0
22	Raoul's	180 Prince St., New York 10012	0.0
23	Blue Ribbon Sushi	119 Sullivan St., New York 10012	0.0
0	Eli's Table	1413 Third Ave., New York 10028	0.0
1	Fig & Olive	808 Lexington Ave., New York 10021	0.0
2	Jean-Georges	1 Central Park West, New York 10023	3.0
3	Al di Là	248 Fifth Ave., New York 11215	0.0
4	Stone Park Cafe	324 Fifth Ave., New York 11215	0.0
5	The Pearl Room	8201 Third Ave., New York 11209	0.0
6	The Odeon	145 West Broadway, New York 10013	0.0
7	Blue Ribbon Bakery	35 Downing St., New York 10014	0.0
8	Extra Virgin	259 W. 4th St., New York 10014	0.0
9	Il Buco	47 Bond St., New York 10012	0.0
10	Barbetta	321 W. 46th St., New York 10036	0.0
11	Public	210 Elizabeth St., New York 10012	1.0
12	Great N.Y. Noodletown	28 Bowery, New York 10013	0.0
13	The Modern	9 W. 53rd St., New York 10019	2.0
14	Gigino at Wagner Park	20 Battery Pl., New York 10004	0.0
15	Bar Masa	10 Columbus Circle, New York 10019	0.0
16	Del Frisco's	1221 Sixth Ave., New York 10020	0.0
17	Golden Unicorn	18 East Broadway, New York 10002	0.0
18	Smith & Wollensky	797 Third Ave., New York 10022	0.0
19	Kurumazushi	7 E. 47th St., 2nd fl., New York 10017	0.0
20	Prune	54 E. 1st St., New York 10003	0.0
21	Mezzaluna	1295 Third Ave., New York 10021	0.0
22	Beyoglu	1431 Third Ave., New York 10028	0.0
23	Peasant	194 Elizabeth St., New York 10012	0.0
0	Café Mogador	101 St. Marks Pl., New York 10009	0.0
1	Roberto's	603 Crescent Ave., New York 10458	0.0
2	BLT Prime	111 E. 22nd St., New York 10010	0.0
3	New Leaf Café	1 Margaret Corbin Dr., New York 10040	0.0
