	Salary	Title	Company	Location
5061	125000	Staff Scientist	SummitGroupSolutions,LLC	Bellevue, WA 98004 (Downtown area)
5064	125000	Sr Supplier Quality Engineer	All-InAnalytics	Seattle, WA
5081	107500	Data Scientist Sr. Advisor	OpenLending	Austin, TX 78746
5083	150000	Data Mining Scientist	All-InAnalytics	Austin, TX
5089	100000	Information Technology Professional	ProvidencePartners	Austin, TX
5094	70000		LighthouseRecruiting	Austin, TX
5097	90000	Director of Brand Marketing	XORDataExchange	Austin, TX
5101	105000	Laboratory Director	ProvidencePartners	Austin, TX
5106	105000	Project Team Lead Needed: Project Scientist, Geologist, or Engineer	ProvidencePartnersandAssociates	Austin, TX 78759 (Arboretum area)
5593	45000	Bioinformatics Scientist 1	CascadeInsights	Portland, OR
5594	69042	Data Scientist Programmer	StateofOregon	Portland, OR
5596	45000	Medical Lab Scientist	CascadeInsights	Portland, OR 97213 (Roseway area)
5597	45000		OregonHealth&ScienceUniversity	Portland, OR
5598	105000	Water Resources Sr. Project Engineer/Project Manager	OregonHealth&ScienceUniversity	Portland, OR
